tipo_cultivo,ubicacion,tamanio,rdto,uso_fertilizantes
Semierecta.,1572,33997,0.8679,False
Semierecta.,1059,80481,0.6079,False
Rastrera.,1242,95781,0.922,True
Erecta.,1286,98904,0.1078,False
Semierecta.,1109,69298,0.0916,False
Semierecta.,1796,28957,0.8001,False
Erecta.,1617,29959,0.0515,True
Erecta.,1934,55504,0.8525,False
Semierecta.,1788,68028,0.4327,False
Semierecta.,1380,36233,0.9104,True
Semierecta.,1152,47511,0.1889,False
Erecta.,1208,51405,0.3207,True
Rastrera.,1387,8828,0.9853,True
Erecta.,1215,35572,0.7309,False
Erecta.,1649,26304,0.6882,False
Erecta.,1513,49535,0.4027,True
Rastrera.,1177,99233,0.1908,True
Semierecta.,1854,58571,0.5727,False
Rastrera.,1908,27258,0.3584,True
Erecta.,1694,76759,0.8587,True
Semierecta.,1111,37073,0.2024,True
Erecta.,1065,3145,0.7055,False
Rastrera.,1879,92420,0.8758,False
Semierecta.,1551,14590,0.1598,False
Erecta.,1361,4469,0.5871,True
Erecta.,1913,53086,0.1858,False
Rastrera.,1579,60222,0.5163,True
Semierecta.,1627,61351,0.9389,False
Erecta.,1515,79331,0.5147,True
Rastrera.,1010,66356,0.3932,False
Erecta.,1077,50378,0.9661,False
Erecta.,1784,32408,0.8773,True
Rastrera.,1466,84093,0.1689,True
Rastrera.,1452,4317,0.2521,True
Semierecta.,1090,24778,0.45,False
Semierecta.,1656,87838,0.1734,True
Erecta.,1504,14376,0.4087,True
Semierecta.,1874,11045,0.8964,True
Semierecta.,1076,27376,0.725,False
Rastrera.,1979,54046,0.9604,True
Semierecta.,1555,17200,0.9987,True
Erecta.,1583,57666,0.6405,True
Semierecta.,1680,83053,0.7138,False
Rastrera.,1544,35728,0.6345,False
Semierecta.,1690,70611,0.5566,True
Semierecta.,1268,14030,0.0047,True
Semierecta.,1260,306,0.5359,False
Semierecta.,1323,42214,0.4673,True
Rastrera.,1929,1327,0.5504,True
Rastrera.,1177,73374,0.5986,True
Semierecta.,1007,3668,0.8994,False
Semierecta.,1579,55217,0.2383,True
Rastrera.,1135,66457,0.0855,False
Erecta.,1200,54871,0.5687,True
Semierecta.,1529,93800,0.3837,False
Rastrera.,1873,95695,0.8599,True
Rastrera.,1248,36923,0.6805,False
Erecta.,1195,26226,0.2952,True
Erecta.,1863,47438,0.1177,False
Semierecta.,1074,31991,0.7868,False
Rastrera.,1395,33188,0.7257,True
Erecta.,1151,8672,0.0135,False
Erecta.,1927,33953,0.6807,True
Erecta.,1237,34393,0.2912,False
Semierecta.,1547,73467,0.3743,False
Rastrera.,1403,23167,0.0734,False
Semierecta.,1914,31096,0.1477,True
Erecta.,1827,22229,0.6172,True
Rastrera.,1336,9975,0.3833,False
Semierecta.,1928,14984,0.2041,True
Erecta.,1576,34106,0.7676,True
Erecta.,1422,27419,0.1983,False
Rastrera.,1684,40843,0.8991,True
Erecta.,1371,14983,0.8902,False
Rastrera.,1493,89744,0.4275,True
Erecta.,1887,56306,0.7924,False
Rastrera.,1018,32277,0.5673,False
Erecta.,1206,49451,0.2677,True
Erecta.,1228,8569,0.3541,False
Rastrera.,1769,59968,0.4308,True
